DotNotation,StandardDescription
CCSS.Math.Content.5.NF.B.5b,Explaining why multiplying a given number by a fraction greater than 1 results in a product greater than the given number (recognizing multiplication by whole numbers greater than 1 as a familiar case); explaining why multiplying a given number by a fract
CCSS.Math.Content.5.NF.B.6,"Solve real world problems involving multiplication of fractions and mixed numbers, e.g., by using visual fraction models or equations to represent the problem."
CCSS.Math.Content.5.NF.B.7,Apply and extend previous understandings of division to divide unit fractions by whole numbers and whole numbers by unit fractions.
CCSS.Math.Content.5.NF.B.7a,"Interpret division of a unit fraction by a non-zero whole number, and compute such quotients."
CCSS.Math.Content.5.NF.B.7b,"Interpret division of a whole number by a unit fraction, and compute such quotients."
CCSS.Math.Content.5.NF.B.7c,"Solve real world problems involving division of unit fractions by non-zero whole numbers and division of whole numbers by unit fractions, e.g., by using visual fraction models and equations to represent the problem."
CCSS.Math.Content.5.OA.A,Write and interpret numerical expressions.
CCSS.Math.Content.5.OA.A.1,"Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols."
CCSS.Math.Content.5.OA.A.2,"Write simple expressions that record calculations with numbers, and interpret numerical expressions without evaluating them."
CCSS.Math.Content.5.OA.B,Analyze patterns and relationships.
CCSS.Math.Content.5.OA.B.3,"Generate two numerical patterns using two given rules. Identify apparent relationships between corresponding terms. Form ordered pairs consisting of corresponding terms from the two patterns, and graph the ordered pairs on a coordinate plane."
CCSS.Math.Content.6.EE.A,Apply and extend previous understandings of arithmetic to algebraic expressions.
CCSS.Math.Content.6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.
CCSS.Math.Content.6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers."
CCSS.Math.Content.6.EE.A.2a,Write expressions that record operations with numbers and with letters standing for numbers.
CCSS.Math.Content.6.EE.A.2b,"Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, coefficient); view one or more parts of an expression as a single entity."
CCSS.Math.Content.6.EE.A.2c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are"
CCSS.Math.Content.6.EE.A.3,Apply the properties of operations to generate equivalent expressions.
CCSS.Math.Content.6.EE.A.4,"Identify when two expressions are equivalent (i.e., when the two expressions name the same number regardless of which value is substituted into them)."
CCSS.Math.Content.6.EE.B,Reason about and solve one-variable equations and inequalities.
CCSS.Math.Content.6.EE.B.5,"Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation o"
CCSS.Math.Content.6.EE.B.6,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number, or, depending on the purpose at hand, any number in a specified set."
CCSS.Math.Content.6.EE.B.7,"Solve real-world and mathematical problems by writing and solving equations of the form x + p = q and px = q for cases in which p, q and x are all nonnegative rational numbers."
CCSS.Math.Content.6.EE.B.8,Write an inequality of the form x &gt; c or x &lt; c to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form x &gt; c or x &lt; c have infinitely many solutions; represent solutions of such i
CCSS.Math.Content.6.EE.C,Represent and analyze quantitative relationships between dependent and independent variables.
CCSS.Math.Content.6.EE.C.9,"Use variables to represent two quantities in a real-world problem that change in relationship to one another; write an equation to express one quantity, thought of as the dependent variable, in terms of the other quantity, thought of as the independent va"
CCSS.Math.Content.6.G.A,"Solve real-world and mathematical problems involving area, surface area, and volume."
CCSS.Math.Content.6.G.A.1,"Find the area of right triangles, other triangles, special quadrilaterals, and polygons by composing into rectangles or decomposing into triangles and other shapes; apply these techniques in the context of solving real-world and mathematical problems."
CCSS.Math.Content.6.G.A.2,"Find the volume of a right rectangular prism with fractional edge lengths by packing it with unit cubes of the appropriate unit fraction edge lengths, and show that the volume is the same as would be found by multiplying the edge lengths of the prism. App"
CCSS.Math.Content.6.G.A.3,Draw polygons in the coordinate plane given coordinates for the vertices; use coordinates to find the length of a side joining points with the same first coordinate or the same second coordinate. Apply these techniques in the context of solving real-world
CCSS.Math.Content.6.G.A.4,"Represent three-dimensional figures using nets made up of rectangles and triangles, and use the nets to find the surface area of these figures. Apply these techniques in the context of solving real-world and mathematical problems."
CCSS.Math.Content.6.NS.A,Apply and extend previous understandings of multiplication and division to divide fractions by fractions.
CCSS.Math.Content.6.NS.A.1,"Interpret and compute quotients of fractions, and solve word problems involving division of fractions by fractions, e.g., by using visual fraction models and equations to represent the problem."
CCSS.Math.Content.6.NS.B,Compute fluently with multi-digit numbers and find common factors and multiples.
CCSS.Math.Content.6.NS.B.2,Fluently divide multi-digit numbers using the standard algorithm.
CCSS.Math.Content.6.NS.B.3,"Fluently add, subtract, multiply, and divide multi-digit decimals using the standard algorithm for each operation."
CCSS.Math.Content.6.NS.B.4,Find the greatest common factor of two whole numbers less than or equal to 100 and the least common multiple of two whole numbers less than or equal to 12. Use the distributive property to express a sum of two whole numbers 1???100 with a common factor as
CCSS.Math.Content.6.NS.C,Apply and extend previous understandings of numbers to the system of rational numbers.
CCSS.Math.Content.6.NS.C.5,"Understand that positive and negative numbers are used together to describe quantities having opposite directions or values (e.g., temperature above/below zero, elevation above/below sea level, credits/debits, positive/negative electric charge); use posit"
CCSS.Math.Content.6.NS.C.6,Understand a rational number as a point on the number line. Extend number line diagrams and coordinate axes familiar from previous grades to represent points on the line and in the plane with negative number coordinates.
CCSS.Math.Content.6.NS.C.6a,"Recognize opposite signs of numbers as indicating locations on opposite sides of 0 on the number line; recognize that the opposite of the opposite of a number is the number itself, e.g., -(-3) = 3, and that 0 is its own opposite."
CCSS.Math.Content.6.NS.C.6b,"Understand signs of numbers in ordered pairs as indicating locations in quadrants of the coordinate plane; recognize that when two ordered pairs differ only by signs, the locations of the points are related by reflections across one or both axes."
CCSS.Math.Content.6.NS.C.6c,Find and position integers and other rational numbers on a horizontal or vertical number line diagram; find and position pairs of integers and other rational numbers on a coordinate plane.
CCSS.Math.Content.6.NS.C.7,Understand ordering and absolute value of rational numbers.
CCSS.Math.Content.6.NS.C.7a,Interpret statements of inequality as statements about the relative position of two numbers on a number line diagram.
CCSS.Math.Content.6.NS.C.7b,"Write, interpret, and explain statements of order for rational numbers in real-world contexts."
CCSS.Math.Content.6.NS.C.7c,Understand the absolute value of a rational number as its distance from 0 on the number line; interpret absolute value as magnitude for a positive or negative quantity in a real-world situation.
CCSS.Math.Content.6.NS.C.7d,Distinguish comparisons of absolute value from statements about order.
CCSS.Math.Content.6.NS.C.8,Solve real-world and mathematical problems by graphing points in all four quadrants of the coordinate plane. Include use of coordinates and absolute value to find distances between points with the same first coordinate or the same second coordinate.
CCSS.Math.Content.6.RP.A,Understand ratio concepts and use ratio reasoning to solve problems.
CCSS.Math.Content.6.RP.A.1,Understand the concept of a ratio and use ratio language to describe a ratio relationship between two quantities.
CCSS.Math.Content.6.RP.A.2,"Understand the concept of a unit rate a/b associated with a ratio a:b with b ??? 0, and use rate language in the context of a ratio relationship."
CCSS.Math.Content.6.RP.A.3,"Use ratio and rate reasoning to solve real-world and mathematical problems, e.g., by reasoning about tables of equivalent ratios, tape diagrams, double number line diagrams, or equations."
CCSS.Math.Content.6.RP.A.3a,"Make tables of equivalent ratios relating quantities with whole number measurements, find missing values in the tables, and plot the pairs of values on the coordinate plane. Use tables to compare ratios."
CCSS.Math.Content.6.RP.A.3b,Solve unit rate problems including those involving unit pricing and constant speed.
CCSS.Math.Content.6.RP.A.3c,"Find a percent of a quantity as a rate per 100 (e.g., 30% of a quantity means 30/100 times the quantity); solve problems involving finding the whole, given a part and the percent."
CCSS.Math.Content.6.RP.A.3d,Use ratio reasoning to convert measurement units; manipulate and transform units appropriately when multiplying or dividing quantities.
CCSS.Math.Content.6.SP.A,Develop understanding of statistical variability.
CCSS.Math.Content.6.SP.A.1,Recognize a statistical question as one that anticipates variability in the data related to the question and accounts for it in the answers.
CCSS.Math.Content.6.SP.A.2,"Understand that a set of data collected to answer a statistical question has a distribution which can be described by its center, spread, and overall shape."
CCSS.Math.Content.6.SP.A.3,"Recognize that a measure of center for a numerical data set summarizes all of its values with a single number, while a measure of variation describes how its values vary with a single number."
CCSS.Math.Content.6.SP.B,Summarize and describe distributions.
CCSS.Math.Content.6.SP.B.4,"Display numerical data in plots on a number line, including dot plots, histograms, and box plots."
CCSS.Math.Content.6.SP.B.5,"Summarize numerical data sets in relation to their context, such as by:"
CCSS.Math.Content.6.SP.B.5a,Reporting the number of observations.
CCSS.Math.Content.6.SP.B.5b,"Describing the nature of the attribute under investigation, including how it was measured and its units of measurement."
CCSS.Math.Content.6.SP.B.5c,"Giving quantitative measures of center (median and/or mean) and variability (interquartile range and/or mean absolute deviation), as well as describing any overall pattern and any striking deviations from the overall pattern with reference to the context "
CCSS.Math.Content.6.SP.B.5d,Relating the choice of measures of center and variability to the shape of the data distribution and the context in which the data were gathered.
CCSS.Math.Content.7.EE.A,Use properties of operations to generate equivalent expressions.
CCSS.Math.Content.7.EE.A.1,"Apply properties of operations as strategies to add, subtract, factor, and expand linear expressions with rational coefficients."
CCSS.Math.Content.7.EE.A.2,Understand that rewriting an expression in different forms in a problem context can shed light on the problem and how the quantities in it are related.
CCSS.Math.Content.7.EE.B,Solve real-life and mathematical problems using numerical and algebraic expressions and equations.
CCSS.Math.Content.7.EE.B.3,"Solve multi-step real-life and mathematical problems posed with positive and negative rational numbers in any form (whole numbers, fractions, and decimals), using tools strategically. Apply properties of operations to calculate with numbers in any form; c"
CCSS.Math.Content.7.EE.B.4,"Use variables to represent quantities in a real-world or mathematical problem, and construct simple equations and inequalities to solve problems by reasoning about the quantities."
CCSS.Math.Content.7.EE.B.4a,"Solve word problems leading to equations of the form px + q = r and p(x + q) = r, where p, q, and r are specific rational numbers. Solve equations of these forms fluently. Compare an algebraic solution to an arithmetic solution, identifying the sequence o"
CCSS.Math.Content.7.EE.B.4b,"Solve word problems leading to inequalities of the form px + q &gt; r or px + q &lt; r, where p, q, and r are specific rational numbers. Graph the solution set of the inequality and interpret it in the context of the problem."
CCSS.Math.Content.7.G.A,"Draw, construct, and describe geometrical figures and describe the relationships between them."
CCSS.Math.Content.7.G.A.1,"Solve problems involving scale drawings of geometric figures, including computing actual lengths and areas from a scale drawing and reproducing a scale drawing at a different scale."
CCSS.Math.Content.7.G.A.2,"Draw (freehand, with ruler and protractor, and with technology) geometric shapes with given conditions. Focus on constructing triangles from three measures of angles or sides, noticing when the conditions determine a unique triangle, more than one triangl"
CCSS.Math.Content.7.G.A.3,"Describe the two-dimensional figures that result from slicing three-dimensional figures, as in plane sections of right rectangular prisms and right rectangular pyramids."
CCSS.Math.Content.7.G.B,"Solve real-life and mathematical problems involving angle measure, area, surface area, and volume."
CCSS.Math.Content.7.G.B.4,Know the formulas for the area and circumference of a circle and use them to solve problems; give an informal derivation of the relationship between the circumference and area of a circle.
CCSS.Math.Content.7.G.B.5,"Use facts about supplementary, complementary, vertical, and adjacent angles in a multi-step problem to write and solve simple equations for an unknown angle in a figure."
CCSS.Math.Content.7.G.B.6,"Solve real-world and mathematical problems involving area, volume and surface area of two- and three-dimensional objects composed of triangles, quadrilaterals, polygons, cubes, and right prisms."
CCSS.Math.Content.7.NS.A,"Apply and extend previous understandings of operations with fractions to add, subtract, multiply, and divide rational numbers."
CCSS.Math.Content.7.NS.A.1,Apply and extend previous understandings of addition and subtraction to add and subtract rational numbers; represent addition and subtraction on a horizontal or vertical number line diagram.
CCSS.Math.Content.7.NS.A.1a,Describe situations in which opposite quantities combine to make 0.
CCSS.Math.Content.7.NS.A.1b,"Understand p + q as the number located a distance q from p, in the positive or negative direction depending on whether q is positive or negative. Show that a number and its opposite have a sum of 0 (are additive inverses). Interpret sums of rational numbe"
CCSS.Math.Content.7.NS.A.1c,"Understand subtraction of rational numbers as adding the additive inverse, p - q = p + (-q). Show that the distance between two rational numbers on the number line is the absolute value of their difference, and apply this principle in real-world contexts."
CCSS.Math.Content.7.NS.A.1d,Apply properties of operations as strategies to add and subtract rational numbers.
CCSS.Math.Content.7.NS.A.2,Apply and extend previous understandings of multiplication and division and of fractions to multiply and divide rational numbers.
CCSS.Math.Content.7.NS.A.2a,"Understand that multiplication is extended from fractions to rational numbers by requiring that operations continue to satisfy the properties of operations, particularly the distributive property, leading to products such as (-1)(-1) = 1 and the rules for"
CCSS.Math.Content.7.NS.A.2b,"Understand that integers can be divided, provided that the divisor is not zero, and every quotient of integers (with non-zero divisor) is a rational number. If p and q are integers, then -(p/q) = (-p)/q = p/(-q). Interpret quotients of rational numbers by"
CCSS.Math.Content.7.NS.A.2c,Apply properties of operations as strategies to multiply and divide rational numbers.
CCSS.Math.Content.7.NS.A.2d,Convert a rational number to a decimal using long division; know that the decimal form of a rational number terminates in 0s or eventually repeats.
CCSS.Math.Content.7.NS.A.3,Solve real-world and mathematical problems involving the four operations with rational numbers.
CCSS.Math.Content.7.RP.A,Analyze proportional relationships and use them to solve real-world and mathematical problems.
CCSS.Math.Content.7.RP.A.1,"Compute unit rates associated with ratios of fractions, including ratios of lengths, areas and other quantities measured in like or different units."
CCSS.Math.Content.7.RP.A.2,Recognize and represent proportional relationships between quantities.
CCSS.Math.Content.7.RP.A.2a,"Decide whether two quantities are in a proportional relationship, e.g., by testing for equivalent ratios in a table or graphing on a coordinate plane and observing whether the graph is a straight line through the origin."
CCSS.Math.Content.7.RP.A.2b,"Identify the constant of proportionality (unit rate) in tables, graphs, equations, diagrams, and verbal descriptions of proportional relationships."
CCSS.Math.Content.7.RP.A.2c,Represent proportional relationships by equations.
CCSS.Math.Content.7.RP.A.2d,"Explain what a point (x, y) on the graph of a proportional relationship means in terms of the situation, with special attention to the points (0, 0) and (1, r) where r is the unit rate."
CCSS.Math.Content.7.RP.A.3,Use proportional relationships to solve multistep ratio and percent problems.
CCSS.Math.Content.7.SP.A,Use random sampling to draw inferences about a population.
CCSS.Math.Content.7.SP.A.1,Understand that statistics can be used to gain information about a population by examining a sample of the population; generalizations about a population from a sample are valid only if the sample is representative of that population. Understand that rand
CCSS.Math.Content.7.SP.A.2,Use data from a random sample to draw inferences about a population with an unknown characteristic of interest. Generate multiple samples (or simulated samples) of the same size to gauge the variation in estimates or predictions.
CCSS.Math.Content.7.SP.B,Draw informal comparative inferences about two populations.
CCSS.Math.Content.7.SP.B.3,"Informally assess the degree of visual overlap of two numerical data distributions with similar variabilities, measuring the difference between the centers by expressing it as a multiple of a measure of variability."
CCSS.Math.Content.7.SP.B.4,Use measures of center and measures of variability for numerical data from random samples to draw informal comparative inferences about two populations.
CCSS.Math.Content.7.SP.C,"Investigate chance processes and develop, use, and evaluate probability models."
CCSS.Math.Content.7.SP.C.5,"Understand that the probability of a chance event is a number between 0 and 1 that expresses the likelihood of the event occurring. Larger numbers indicate greater likelihood. A probability near 0 indicates an unlikely event, a probability around 1/2 indi"
CCSS.Math.Content.7.SP.C.6,"Approximate the probability of a chance event by collecting data on the chance process that produces it and observing its long-run relative frequency, and predict the approximate relative frequency given the probability."
CCSS.Math.Content.7.SP.C.7,"Develop a probability model and use it to find probabilities of events. Compare probabilities from a model to observed frequencies; if the agreement is not good, explain possible sources of the discrepancy."
CCSS.Math.Content.7.SP.C.7a,"Develop a uniform probability model by assigning equal probability to all outcomes, and use the model to determine probabilities of events."
CCSS.Math.Content.7.SP.C.7b,Develop a probability model (which may not be uniform) by observing frequencies in data generated from a chance process.
CCSS.Math.Content.7.SP.C.8,"Find probabilities of compound events using organized lists, tables, tree diagrams, and simulation."
CCSS.Math.Content.7.SP.C.8a,"Understand that, just as with simple events, the probability of a compound event is the fraction of outcomes in the sample space for which the compound event occurs."
CCSS.Math.Content.7.SP.C.8b,"Represent sample spaces for compound events using methods such as organized lists, tables and tree diagrams. For an event described in everyday language (e.g., ""rolling double sixes""), identify the outcomes in the sample space which compose the event."
CCSS.Math.Content.7.SP.C.8c,Design and use a simulation to generate frequencies for compound events.
CCSS.Math.Content.8.EE.A,Work with radicals and integer exponents.
CCSS.Math.Content.8.EE.A.1,Know and apply the properties of integer exponents to generate equivalent numerical expressions.
CCSS.Math.Content.8.EE.A.2,"Use square root and cube root symbols to represent solutions to equations of the form x?_ = p and x?_ = p, where p is a positive rational number. Evaluate square roots of small perfect squares and cube roots of small perfect cubes. Know that ??_2 is irrat"
CCSS.Math.Content.8.EE.A.3,"Use numbers expressed in the form of a single digit times an integer power of 10 to estimate very large or very small quantities, and to express how many times as much one is than the other."
CCSS.Math.Content.8.EE.A.4,"Perform operations with numbers expressed in scientific notation, including problems where both decimal and scientific notation are used. Use scientific notation and choose units of appropriate size for measurements of very large or very small quantities "
CCSS.Math.Content.8.EE.B,"Understand the connections between proportional relationships, lines, and linear equations."
CCSS.Math.Content.8.EE.B.5,"Graph proportional relationships, interpreting the unit rate as the slope of the graph. Compare two different proportional relationships represented in different ways."
CCSS.Math.Content.8.EE.B.6,Use similar triangles to explain why the slope m is the same between any two distinct points on a non-vertical line in the coordinate plane; derive the equation y = mx for a line through the origin and the equation y = mx + b for a line intercepting the v
CCSS.Math.Content.8.EE.C,Analyze and solve linear equations and pairs of simultaneous linear equations.
CCSS.Math.Content.8.EE.C.7,Solve linear equations in one variable.
CCSS.Math.Content.8.EE.C.7a,"Give examples of linear equations in one variable with one solution, infinitely many solutions, or no solutions. Show which of these possibilities is the case by successively transforming the given equation into simpler forms, until an equivalent equation"
CCSS.Math.Content.8.EE.C.7b,"Solve linear equations with rational number coefficients, including equations whose solutions require expanding expressions using the distributive property and collecting like terms."
CCSS.Math.Content.8.EE.C.8,Analyze and solve pairs of simultaneous linear equations.
CCSS.Math.Content.8.EE.C.8a,"Understand that solutions to a system of two linear equations in two variables correspond to points of intersection of their graphs, because points of intersection satisfy both equations simultaneously."
CCSS.Math.Content.8.EE.C.8b,"Solve systems of two linear equations in two variables algebraically, and estimate solutions by graphing the equations. Solve simple cases by inspection."
CCSS.Math.Content.8.EE.C.8c,Solve real-world and mathematical problems leading to two linear equations in two variables.
CCSS.Math.Content.8.F.A,"Define, evaluate, and compare functions."
CCSS.Math.Content.8.F.A.1,Understand that a function is a rule that assigns to each input exactly one output. The graph of a function is the set of ordered pairs consisting of an input and the corresponding output.
CCSS.Math.Content.8.F.A.2,"Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions)."
CCSS.Math.Content.8.F.A.3,"Interpret the equation y = mx + b as defining a linear function, whose graph is a straight line; give examples of functions that are not linear."
CCSS.Math.Content.8.F.B,Use functions to model relationships between quantities.
CCSS.Math.Content.8.F.B.4,"Construct a function to model a linear relationship between two quantities. Determine the rate of change and initial value of the function from a description of a relationship or from two (x, y) values, including reading these from a table or from a graph"
CCSS.Math.Content.8.F.B.5,"Describe qualitatively the functional relationship between two quantities by analyzing a graph (e.g., where the function is increasing or decreasing, linear or nonlinear). Sketch a graph that exhibits the qualitative features of a function that has been d"
CCSS.Math.Content.8.G.A,"Understand congruence and similarity using physical models, transparencies, or geometry software."
CCSS.Math.Content.8.G.A.1,"Verify experimentally the properties of rotations, reflections, and translations:"
CCSS.Math.Content.8.G.A.1a,"Lines are taken to lines, and line segments to line segments of the same length."
CCSS.Math.Content.8.G.A.1b,Angles are taken to angles of the same measure.
CCSS.Math.Content.8.G.A.1c,Parallel lines are taken to parallel lines.
CCSS.Math.Content.8.G.A.2,"Understand that a two-dimensional figure is congruent to another if the second can be obtained from the first by a sequence of rotations, reflections, and translations; given two congruent figures, describe a sequence that exhibits the congruence between "
CCSS.Math.Content.8.G.A.3,"Describe the effect of dilations, translations, rotations, and reflections on two-dimensional figures using coordinates."
CCSS.Math.Content.8.G.A.4,"Understand that a two-dimensional figure is similar to another if the second can be obtained from the first by a sequence of rotations, reflections, translations, and dilations; given two similar two-dimensional figures, describe a sequence that exhibits "
CCSS.Math.Content.8.G.A.5,"Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles."
CCSS.Math.Content.8.G.B,Understand and apply the Pythagorean Theorem.
CCSS.Math.Content.8.G.B.6,Explain a proof of the Pythagorean Theorem and its converse.
CCSS.Math.Content.8.G.B.7,Apply the Pythagorean Theorem to determine unknown side lengths in right triangles in real-world and mathematical problems in two and three dimensions.
CCSS.Math.Content.8.G.B.8,Apply the Pythagorean Theorem to find the distance between two points in a coordinate system.
CCSS.Math.Content.8.G.C,"Solve real-world and mathematical problems involving volume of cylinders, cones, and spheres."
CCSS.Math.Content.8.G.C.9,"Know the formulas for the volumes of cones, cylinders, and spheres and use them to solve real-world and mathematical problems."
CCSS.Math.Content.8.NS.A,"Know that there are numbers that are not rational, and approximate them by rational numbers."
CCSS.Math.Content.8.NS.A.1,"Know that numbers that are not rational are called irrational. Understand informally that every number has a decimal expansion; for rational numbers show that the decimal expansion repeats eventually, and convert a decimal expansion which repeats eventual"
CCSS.Math.Content.8.NS.A.2,"Use rational approximations of irrational numbers to compare the size of irrational numbers, locate them approximately on a number line diagram, and estimate the value of expressions (e.g., ???_)."
CCSS.Math.Content.8.SP.A,Investigate patterns of association in bivariate data.
CCSS.Math.Content.8.SP.A.1,"Construct and interpret scatter plots for bivariate measurement data to investigate patterns of association between two quantities. Describe patterns such as clustering, outliers, positive or negative association, linear association, and nonlinear associa"
CCSS.Math.Content.8.SP.A.2,"Know that straight lines are widely used to model relationships between two quantitative variables. For scatter plots that suggest a linear association, informally fit a straight line, and informally assess the model fit by judging the closeness of the da"
CCSS.Math.Content.8.SP.A.3,"Use the equation of a linear model to solve problems in the context of bivariate measurement data, interpreting the slope and intercept."
CCSS.Math.Content.8.SP.A.4,Understand that patterns of association can also be seen in bivariate categorical data by displaying frequencies and relative frequencies in a two-way table. Construct and interpret a two-way table summarizing data on two categorical variables collected f
CCSS.Math.Content.HSA-APR.A,Perform arithmetic operations on polynomials
CCSS.Math.Content.HSA-APR.A.1,"Understand that polynomials form a system analogous to the integers, namely, they are closed under the operations of addition, subtraction, and multiplication; add, subtract, and multiply polynomials."
CCSS.Math.Content.HSA-APR.B,Understand the relationship between zeros and factors of polynomials
CCSS.Math.Content.HSA-APR.B.2,"Know and apply the Remainder Theorem: For a polynomial p(x) and a number a, the remainder on division by x - a is p(a), so p(a) = 0 if and only if (x - a) is a factor of p(x)."
CCSS.Math.Content.HSA-APR.B.3,"Identify zeros of polynomials when suitable factorizations are available, and use the zeros to construct a rough graph of the function defined by the polynomial."
CCSS.Math.Content.HSA-APR.C,Use polynomial identities to solve problems
CCSS.Math.Content.HSA-APR.C.4,Prove polynomial identities and use them to describe numerical relationships.
CCSS.Math.Content.HSA-APR.C.5,"(+) Know and apply the Binomial Theorem for the expansion of (x + y)&lt;sup&gt;n&lt;/sup&gt; in powers of x and y for a positive integer n, where x and y are any numbers, with coefficients determined for example by Pascal's Triangle."
CCSS.Math.Content.HSA-APR.D,Rewrite rational expressions
CCSS.Math.Content.HSA-APR.D.6,"Rewrite simple rational expressions in different forms; write &lt;sup&gt;a(x &lt;/sup&gt;/&lt;sub&gt;b(x)&lt;/sub&gt; in the form q(x) + &lt;sup&gt;r(x)&lt;/sup&gt;/&lt;sub&gt;b(x)&lt;/sub&gt;, where a(x), b(x), q(x), and r(x) are polynomials with the deg"
CCSS.Math.Content.HSA-APR.D.7,"(+) Understand that rational expressions form a system analogous to the rational numbers, closed under addition, subtraction, multiplication, and division by a nonzero rational expression; add, subtract, multiply, and divide rational expressions."
CCSS.Math.Content.HSA-CED.A,Create equations that describe numbers or relationships
CCSS.Math.Content.HSA-CED.A.1,"Create equations and inequalities in one variable and use them to solve problems. Include equations arising from linear and quadratic functions, and simple rational and exponential functions."
CCSS.Math.Content.HSA-CED.A.2,Create equations in two or more variables to represent relationships between quantities; graph equations on coordinate axes with labels and scales.
CCSS.Math.Content.HSA-CED.A.3,"Represent constraints by equations or inequalities, and by systems of equations and/or inequalities, and interpret solutions as viable or nonviable options in a modeling context."
CCSS.Math.Content.HSA-CED.A.4,"Rearrange formulas to highlight a quantity of interest, using the same reasoning as in solving equations."
CCSS.Math.Content.HSA-REI.A,Understand solving equations as a process of reasoning and explain the reasoning
CCSS.Math.Content.HSA-REI.A.1,"Explain each step in solving a simple equation as following from the equality of numbers asserted at the previous step, starting from the assumption that the original equation has a solution. Construct a viable argument to justify a solution method."
CCSS.Math.Content.HSA-REI.A.2,"Solve simple rational and radical equations in one variable, and give examples showing how extraneous solutions may arise."
CCSS.Math.Content.HSA-REI.B,Solve equations and inequalities in one variable
CCSS.Math.Content.HSA-REI.B.3,"Solve linear equations and inequalities in one variable, including equations with coefficients represented by letters."
CCSS.Math.Content.HSA-REI.B.4,Solve quadratic equations in one variable.
CCSS.Math.Content.HSA-REI.B.4a,Use the method of completing the square to transform any quadratic equation in x into an equation of the form (x - p)?_ = q that has the same solutions. Derive the quadratic formula from this form.
CCSS.Math.Content.HSA-REI.B.4b,"Solve quadratic equations by inspection (e.g., for x?_ = 49), taking square roots, completing the square, the quadratic formula and factoring, as appropriate to the initial form of the equation. Recognize when the quadratic formula gives complex solutions"
CCSS.Math.Content.HSA-REI.C,Solve systems of equations
CCSS.Math.Content.HSA-REI.C.5,"Prove that, given a system of two equations in two variables, replacing one equation by the sum of that equation and a multiple of the other produces a system with the same solutions."
CCSS.Math.Content.HSA-REI.C.6,"Solve systems of linear equations exactly and approximately (e.g., with graphs), focusing on pairs of linear equations in two variables."
CCSS.Math.Content.HSA-REI.C.7,Solve a simple system consisting of a linear equation and a quadratic equation in two variables algebraically and graphically.
CCSS.Math.Content.HSA-REI.C.8,(+) Represent a system of linear equations as a single matrix equation in a vector variable.
CCSS.Math.Content.HSA-REI.C.9,(+) Find the inverse of a matrix if it exists and use it to solve systems of linear equations (using technology for matrices of dimension 3 ?? 3 or greater).
CCSS.Math.Content.HSA-REI.D,Represent and solve equations and inequalities graphically
CCSS.Math.Content.HSA-REI.D.10,"Understand that the graph of an equation in two variables is the set of all its solutions plotted in the coordinate plane, often forming a curve (which could be a line)."
CCSS.Math.Content.HSA-REI.D.11,"Explain why the x-coordinates of the points where the graphs of the equations y = f(x) and y = g(x) intersect are the solutions of the equation f(x) = g(x); find the solutions approximately, e.g., using technology to graph the functions, make tables of va"
CCSS.Math.Content.HSA-REI.D.12,"Graph the solutions to a linear inequality in two variables as a half-plane (excluding the boundary in the case of a strict inequality), and graph the solution set to a system of linear inequalities in two variables as the intersection of the correspondin"
CCSS.Math.Content.HSA-SSE.A,Interpret the structure of expressions
CCSS.Math.Content.HSA-SSE.A.1,Interpret expressions that represent a quantity in terms of its context &lt;sup&gt;???&lt;/sup&gt;
CCSS.Math.Content.HSA-SSE.A.1a,"Interpret parts of an expression, such as terms, factors, and coefficients."
CCSS.Math.Content.HSA-SSE.A.1b,Interpret complicated expressions by viewing one or more of their parts as a single entity.
CCSS.Math.Content.HSA-SSE.A.2,Use the structure of an expression to identify ways to rewrite it.
CCSS.Math.Content.HSA-SSE.B,Write expressions in equivalent forms to solve problems
CCSS.Math.Content.HSA-SSE.B.3,Choose and produce an equivalent form of an expression to reveal and explain properties of the quantity represented by the expression.&lt;sup&gt;???&lt;/sup&gt;
CCSS.Math.Content.HSA-SSE.B.3a,Factor a quadratic expression to reveal the zeros of the function it defines.
CCSS.Math.Content.HSA-SSE.B.3b,Complete the square in a quadratic expression to reveal the maximum or minimum value of the function it defines.
CCSS.Math.Content.HSA-SSE.B.3c,Use the properties of exponents to transform expressions for exponential functions.
CCSS.Math.Content.HSA-SSE.B.4,"Derive the formula for the sum of a finite geometric series (when the common ratio is not 1), and use the formula to solve problems.&lt;sup&gt;???&lt;/sup&gt;"
CCSS.Math.Content.HSF-BF.A,Build a function that models a relationship between two quantities
